PING 192.168.250.120 (192.168.250.120) 56(84) bytes of data.
64 bytes from 192.168.250.120: icmp_seq=281 ttl=64 time=8.32 ms
64 bytes from 192.168.250.120: icmp_seq=282 ttl=64 time=5.31 ms
64 bytes from 192.168.250.120: icmp_seq=283 ttl=64 time=13.1 ms
64 bytes from 192.168.250.120: icmp_seq=284 ttl=64 time=9.51 ms
64 bytes from 192.168.250.120: icmp_seq=285 ttl=64 time=10.0 ms
64 bytes from 192.168.250.120: icmp_seq=286 ttl=64 time=12.9 ms
64 bytes from 192.168.250.120: icmp_seq=287 ttl=64 time=9.77 ms
64 bytes from 192.168.250.120: icmp_seq=288 ttl=64 time=10.3 ms
64 bytes from 192.168.250.120: icmp_seq=289 ttl=64 time=11.0 ms
64 bytes from 192.168.250.120: icmp_seq=290 ttl=64 time=10.5 ms
64 bytes from 192.168.250.120: icmp_seq=291 ttl=64 time=12.9 ms
64 bytes from 192.168.250.120: icmp_seq=292 ttl=64 time=13.1 ms
64 bytes from 192.168.250.120: icmp_seq=293 ttl=64 time=336 ms
64 bytes from 192.168.250.120: icmp_seq=294 ttl=64 time=8.83 ms
64 bytes from 192.168.250.120: icmp_seq=295 ttl=64 time=4.15 ms
64 bytes from 192.168.250.120: icmp_seq=296 ttl=64 time=4.95 ms
64 bytes from 192.168.250.120: icmp_seq=297 ttl=64 time=4.67 ms
64 bytes from 192.168.250.120: icmp_seq=298 ttl=64 time=6.28 ms
64 bytes from 192.168.250.120: icmp_seq=299 ttl=64 time=6.74 ms
64 bytes from 192.168.250.120: icmp_seq=300 ttl=64 time=8.76 ms
64 bytes from 192.168.250.120: icmp_seq=301 ttl=64 time=8.90 ms
64 bytes from 192.168.250.120: icmp_seq=302 ttl=64 time=8.34 ms
64 bytes from 192.168.250.120: icmp_seq=303 ttl=64 time=7.33 ms
64 bytes from 192.168.250.120: icmp_seq=304 ttl=64 time=8.69 ms
64 bytes from 192.168.250.120: icmp_seq=305 ttl=64 time=11.3 ms
64 bytes from 192.168.250.120: icmp_seq=306 ttl=64 time=11.1 ms
64 bytes from 192.168.250.120: icmp_seq=307 ttl=64 time=8.00 ms
64 bytes from 192.168.250.120: icmp_seq=308 ttl=64 time=544 ms
64 bytes from 192.168.250.120: icmp_seq=309 ttl=64 time=4.56 ms
64 bytes from 192.168.250.120: icmp_seq=310 ttl=64 time=7.50 ms
64 bytes from 192.168.250.120: icmp_seq=311 ttl=64 time=7.57 ms
64 bytes from 192.168.250.120: icmp_seq=312 ttl=64 time=4.45 ms
64 bytes from 192.168.250.120: icmp_seq=313 ttl=64 time=9.59 ms
64 bytes from 192.168.250.120: icmp_seq=314 ttl=64 time=8.90 ms
64 bytes from 192.168.250.120: icmp_seq=315 ttl=64 time=49.9 ms
64 bytes from 192.168.250.120: icmp_seq=316 ttl=64 time=332 ms
64 bytes from 192.168.250.120: icmp_seq=317 ttl=64 time=312 ms
64 bytes from 192.168.250.120: icmp_seq=318 ttl=64 time=30.5 ms
64 bytes from 192.168.250.120: icmp_seq=319 ttl=64 time=3.95 ms
64 bytes from 192.168.250.120: icmp_seq=320 ttl=64 time=4.27 ms
64 bytes from 192.168.250.120: icmp_seq=321 ttl=64 time=4.45 ms
64 bytes from 192.168.250.120: icmp_seq=322 ttl=64 time=5.78 ms
64 bytes from 192.168.250.120: icmp_seq=323 ttl=64 time=8.20 ms
64 bytes from 192.168.250.120: icmp_seq=324 ttl=64 time=6.70 ms
64 bytes from 192.168.250.120: icmp_seq=325 ttl=64 time=4.42 ms
64 bytes from 192.168.250.120: icmp_seq=326 ttl=64 time=8.39 ms
64 bytes from 192.168.250.120: icmp_seq=327 ttl=64 time=407 ms
64 bytes from 192.168.250.120: icmp_seq=328 ttl=64 time=10.7 ms
64 bytes from 192.168.250.120: icmp_seq=329 ttl=64 time=6.43 ms
64 bytes from 192.168.250.120: icmp_seq=330 ttl=64 time=10.8 ms
64 bytes from 192.168.250.120: icmp_seq=331 ttl=64 time=3.59 ms
64 bytes from 192.168.250.120: icmp_seq=332 ttl=64 time=7.02 ms
64 bytes from 192.168.250.120: icmp_seq=333 ttl=64 time=10.3 ms
64 bytes from 192.168.250.120: icmp_seq=334 ttl=64 time=6.67 ms

--- 192.168.250.120 ping statistics ---
334 packets transmitted, 334 received, 0% packet loss, time 333767ms
rtt min/avg/max/mdev = 0.928/153.741/4119.174/468.778 ms, pipe 5
